model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
EleutherAI/gpt-neox-20b,27.4,256,9.34,3013.632,NVIDIA A100-SXM4-80GB,chat,20.0,0.00327,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-6.9b-deduped,42.3,256,6.05,1649.664,NVIDIA A100-SXM4-80GB,chat,6.9,0.00179,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-6.7b,39.9,256,6.41,1686.528,NVIDIA A100-SXM4-80GB,chat,6.7,0.00183,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-1.4b-deduped,54.8,256,4.67,1115.1360000000002,NVIDIA A100-SXM4-80GB,chat,1.4,0.0012100000000000001,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/gpt-j-6b,30.8,256,8.31,2119.68,NVIDIA A100-SXM4-80GB,chat,6.0,0.0023,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-12b,36.6,256,6.99,2101.2480000000005,NVIDIA A100-SXM4-80GB,chat,12.0,0.0022800000000000003,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-1.3b,55.5,256,4.61,1096.7040000000002,NVIDIA A100-SXM4-80GB,chat,1.3,0.00119,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-12b-deduped,36.6,256,7.0,2082.816,NVIDIA A100-SXM4-80GB,chat,12.0,0.00226,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-1b-deduped,81.3,256,3.15,756.6336,NVIDIA A100-SXM4-80GB,chat,1.0,0.000821,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/gpt-neo-125m,114.0,256,2.25,502.272,NVIDIA A100-SXM4-80GB,chat,0.125,0.000545,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/polyglot-ko-12.8b,33.4,256,7.67,2313.216,NVIDIA A100-SXM4-80GB,chat,12.8,0.00251,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-410m,54.5,256,4.7,1078.272,NVIDIA A100-SXM4-80GB,chat,0.41,0.00117,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/gpt-neo-1.3B,60.8,256,4.21,1041.408,NVIDIA A100-SXM4-80GB,chat,1.3,0.00113,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-160m-deduped,107.0,256,2.4,535.4496,NVIDIA A100-SXM4-80GB,chat,0.16,0.000581,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-410m-deduped,55.5,256,4.61,1087.4879999999998,NVIDIA A100-SXM4-80GB,chat,0.41,0.0011799999999999998,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-160m,106.0,256,2.42,542.8224,NVIDIA A100-SXM4-80GB,chat,0.16,0.000589,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-2.7b,42.5,256,6.03,1483.776,NVIDIA A100-SXM4-80GB,chat,2.7,0.00161,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-2.8b-deduped,42.2,256,6.07,1492.992,NVIDIA A100-SXM4-80GB,chat,2.8,0.00162,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/pythia-70m-deduped,198.0,256,1.29,289.38239999999996,NVIDIA A100-SXM4-80GB,chat,0.07,0.000314,float16,None,gptq-4bit+exllama-v1,False
EleutherAI/gpt-neo-2.7B,45.5,256,5.63,1428.48,NVIDIA A100-SXM4-80GB,chat,2.7,0.00155,float16,None,gptq-4bit+exllama-v1,False
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,50.8,256,5.04,1188.864,NVIDIA A100-SXM4-80GB,chat,1.1,0.00129,float16,None,gptq-4bit+exllama-v1,False
ahxt/llama2_xs_460M_experimental,46.2,256,5.54,1308.672,NVIDIA A100-SXM4-80GB,chat,0.46,0.00142,float16,None,gptq-4bit+exllama-v1,False
