forward.latency(s),forward.throughput(samples/s),forward.peak_memory(MB),forward.max_memory_used(MB),forward.max_memory_allocated(MB),forward.max_memory_reserved(MB),forward.energy_consumption(kWh/sample),forward.carbon_emissions(kgCO2eq/sample),generate.latency(s),generate.throughput(tokens/s),decode.latency(s),decode.throughput(tokens/s),generate.peak_memory(MB),generate.max_memory_used(MB),generate.max_memory_allocated(MB),generate.max_memory_reserved(MB),generate.energy_consumption(kWh/token),generate.carbon_emissions(kgCO2eq/token),launcher.name,launcher._target_,launcher.device_isolation,launcher.start_method,backend.name,backend.version,backend._target_,backend.seed,backend.inter_op_num_threads,backend.intra_op_num_threads,backend.delete_cache,backend.no_weights,backend.device_map,backend.torch_dtype,backend.eval_mode,backend.disable_grad,backend.amp_autocast,backend.amp_dtype,backend.torch_compile,backend.to_bettertransformer,backend.use_flash_attention_2,backend.quantization_scheme,backend.quantization_config.bits,backend.quantization_config.use_cuda_fp16,backend.quantization_config.use_exllama,backend.data_parallel,backend.deepspeed_inference,backend.peft_strategy,benchmark.name,benchmark._target_,benchmark.duration,benchmark.warmup_runs,benchmark.memory,benchmark.energy,benchmark.input_shapes.batch_size,benchmark.input_shapes.sequence_length,benchmark.input_shapes.num_choices,benchmark.input_shapes.feature_size,benchmark.input_shapes.nb_max_frames,benchmark.input_shapes.audio_sequence_length,benchmark.new_tokens,benchmark.can_diffuse,benchmark.can_generate,benchmark.generate_kwargs.num_return_sequences,benchmark.generate_kwargs.max_new_tokens,benchmark.generate_kwargs.min_new_tokens,benchmark.generate_kwargs.do_sample,benchmark.generate_kwargs.use_cache,benchmark.generate_kwargs.pad_token_id,benchmark.generate_kwargs.temperature,benchmark.generate_kwargs.num_beams,experiment_name,device,model,task,hub_kwargs.revision,hub_kwargs.cache_dir,hub_kwargs.force_download,hub_kwargs.local_files_only,hub_kwargs.trust_remote_code,environment.optimum_version,environment.optimum_commit,environment.transformers_version,environment.transformers_commit,environment.accelerate_version,environment.accelerate_commit,environment.diffusers_version,environment.diffusers_commit,environment.python_version,environment.system,environment.cpu,environment.cpu_count,environment.cpu_ram_mb,environment.gpus,backend.quantization_config.exllama_config.version,backend.quantization_config.llm_int8_threshold,backend.quantization_config.load_in_4bit,backend.quantization_config.version,backend.quantization_config.do_fuse,backend.continuous_isolation,backend.isolation_check_interval,backend.quantization_config.load_in_8bit
0.0153,65.4,1859,1859,905,1000,1.35e-06,9.08e-08,2.16,119.0,2.14,119.0,1942,1942,943,1084,3.35e-07,2.26e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,gptq,4,True,False,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+cuda-fp16,cuda,TurkuNLP/gpt3-finnish-large,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00986,101.0,2137,2137,1229,1277,7.4e-07,4.99e-08,2.2,116.0,2.19,116.0,2263,2263,1304,1402,3.43e-07,2.31e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,microsoft/phi-1_5,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],1,,,,,,,
0.01,100.0,3779,3779,924,973,5.08e-07,3.42e-08,1.7,151.0,1.69,151.0,3897,3897,962,1090,2.64e-07,1.78e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,TurkuNLP/gpt3-finnish-large,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],1,,,,,,,
0.0192,52.1,1861,1861,904,1002,2.13e-06,1.44e-07,3.74,68.4,3.72,68.5,1972,1972,941,1113,4.72e-07,3.18e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,bnb,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+bnb-4bit,cuda,TurkuNLP/gpt3-finnish-large,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,0.0,True,,,,,
0.0141,70.9,2108,2108,1193,1249,1.31e-06,8.85e-08,2.45,104.0,2.44,105.0,2213,2213,1269,1354,5.66e-07,3.82e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,awq,4,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+awq-4bit+gemm,cuda,microsoft/phi-1_5,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,gemm,False,,,
0.00998,100.0,1812,1812,905,954,8.84e-07,5.95e-08,1.89,135.0,1.88,136.0,1932,1932,942,1073,2.95e-07,1.99e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,awq,4,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+awq-4bit+gemm,cuda,TurkuNLP/gpt3-finnish-large,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,gemm,False,,,
0.0159,62.9,7143,7143,6254,6285,1.62e-06,1.09e-07,2.52,102.0,2.5,102.0,7311,7311,6401,6452,6.5e-07,4.38e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,GeneZC/MiniMA-2-3B,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.0159,62.9,7143,7143,6254,6285,1.65e-06,1.11e-07,2.52,102.0,2.5,102.0,7311,7311,6401,6452,6.51e-07,4.39e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,GeneZC/MiniMA-3B,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.0102,98.0,4088,4088,2982,3229,9.39e-07,6.33e-08,2.3,111.0,2.29,111.0,4088,4088,3057,3229,4.45e-07,3e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,microsoft/phi-1_5,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
0.00214,467.0,1062,1062,180,203,8.86e-08,5.97e-09,0.615,416.0,0.613,416.0,1068,1068,180,209,6.78e-08,4.57e-09,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,True,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,False,True,,float16,True,True,False,,False,False,False,,,,,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16,cuda,BEE-spoke-data/verysmol_llama-v11-KIx2,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.26.1,,,,3.10.12,Linux, AMD Ryzen 9 7950X 16-Core Processor,32,134796,['NVIDIA GeForce RTX 4090'],,,,,,,,
