forward.latency(s),forward.throughput(samples/s),forward.peak_memory(MB),forward.max_memory_used(MB),forward.max_memory_allocated(MB),forward.max_memory_reserved(MB),forward.energy_consumption(kWh/sample),forward.carbon_emissions(kgCO2eq/sample),generate.latency(s),generate.throughput(tokens/s),decode.latency(s),decode.throughput(tokens/s),generate.peak_memory(MB),generate.max_memory_used(MB),generate.max_memory_allocated(MB),generate.max_memory_reserved(MB),generate.energy_consumption(kWh/token),generate.carbon_emissions(kgCO2eq/token),launcher.name,launcher._target_,launcher.start_method,backend.name,backend.version,backend._target_,backend.seed,backend.inter_op_num_threads,backend.intra_op_num_threads,backend.continuous_isolation,backend.isolation_check_interval,backend.delete_cache,backend.no_weights,backend.device_map,backend.torch_dtype,backend.eval_mode,backend.disable_grad,backend.amp_autocast,backend.amp_dtype,backend.torch_compile,backend.to_bettertransformer,backend.use_flash_attention_2,backend.quantization_scheme,backend.quantization_config.bits,backend.quantization_config.use_cuda_fp16,backend.quantization_config.use_exllama,backend.quantization_config.exllama_config.version,backend.data_parallel,backend.deepspeed_inference,backend.peft_strategy,benchmark.name,benchmark._target_,benchmark.duration,benchmark.warmup_runs,benchmark.memory,benchmark.energy,benchmark.input_shapes.batch_size,benchmark.input_shapes.sequence_length,benchmark.input_shapes.num_choices,benchmark.input_shapes.feature_size,benchmark.input_shapes.nb_max_frames,benchmark.input_shapes.audio_sequence_length,benchmark.new_tokens,benchmark.can_diffuse,benchmark.can_generate,benchmark.generate_kwargs.num_return_sequences,benchmark.generate_kwargs.max_new_tokens,benchmark.generate_kwargs.min_new_tokens,benchmark.generate_kwargs.do_sample,benchmark.generate_kwargs.use_cache,benchmark.generate_kwargs.pad_token_id,benchmark.generate_kwargs.temperature,benchmark.generate_kwargs.num_beams,experiment_name,device,model,task,hub_kwargs.revision,hub_kwargs.cache_dir,hub_kwargs.force_download,hub_kwargs.local_files_only,hub_kwargs.trust_remote_code,environment.optimum_version,environment.optimum_commit,environment.transformers_version,environment.transformers_commit,environment.accelerate_version,environment.accelerate_commit,environment.diffusers_version,environment.diffusers_commit,environment.python_version,environment.system,environment.cpu,environment.cpu_count,environment.cpu_ram_mb,environment.gpus,backend.quantization_config.version,backend.quantization_config.do_fuse,backend.quantization_config.fuse_max_seq_len,backend.quantization_config.llm_int8_threshold,backend.quantization_config.load_in_8bit,backend.quantization_config.load_in_4bit
0.102,9.8,14300,14300,12745,12838,1.1e-05,7.44e-07,9.34,27.4,9.24,27.6,14803,14803,13222,13342,3.27e-06,2.2e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/gpt-neox-20b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0394,25.4,6259,6259,4762,4798,4.13e-06,2.78e-07,6.05,42.3,6.01,42.4,6490,6490,5002,5028,1.79e-06,1.2e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-6.9b-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0394,25.4,6259,6259,4762,4798,4.24e-06,2.85e-07,6.41,39.9,6.37,40.0,6490,6490,5002,5028,1.83e-06,1.23e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-6.7b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0198,50.5,2820,2820,1319,1358,1.63e-06,1.1e-07,4.67,54.8,4.65,54.8,2904,2904,1393,1442,1.21e-06,8.13e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-1.4b-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0412,24.3,5777,5777,4234,4315,4.17e-06,2.81e-07,8.31,30.8,8.27,30.8,6029,6029,4515,4567,2.3e-06,1.55e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/gpt-j-6b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0604,16.6,9269,9269,7759,7807,6.5e-06,4.38e-07,6.99,36.6,6.93,36.8,9583,9583,8106,8122,2.28e-06,1.53e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-12b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0197,50.8,2820,2820,1319,1358,1.61e-06,1.09e-07,4.61,55.5,4.59,55.6,2904,2904,1393,1442,1.19e-06,8.01e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-1.3b,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0605,16.5,9269,9269,7759,7807,6.58e-06,4.44e-07,7.0,36.6,6.94,36.7,9583,9583,8106,8122,2.26e-06,1.53e-07,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-12b-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.0132,75.8,2533,2533,1044,1071,1.12e-06,7.52e-08,3.15,81.3,3.14,81.2,2596,2596,1085,1134,8.21e-07,5.53e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/pythia-1b-deduped,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
0.00953,105.0,1702,1702,225,241,6.25e-07,4.21e-08,2.25,114.0,2.24,114.0,1740,1740,235,278,5.45e-07,3.67e-08,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,spawn,pytorch,2.1.2+cu118,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,42,,,True,1.0,False,True,,float16,True,True,False,,False,False,False,gptq,4,False,True,1,False,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,True,1,256,1,80,3000,16000,256,False,True,1,256,256,False,True,0,1.0,1,pytorch+cuda+float16+gptq-4bit+exllama-v1,cuda,EleutherAI/gpt-neo-125m,text-generation,main,,False,False,True,1.16.1,,4.36.2,,0.25.0,,,,3.10.12,Linux, AMD EPYC 7742 64-Core Processor,128,540671,['NVIDIA A100-SXM4-80GB'],,,,,,
