T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
🔶,davidkim205/Rhea-72b-v0.5,81.22,79.78,91.15,77.95,74.5,87.85,76.12,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,72.29,38.0,True,fda5cf998a0f2d89b53b5fa490793e3e50bb8239,False,False
💬,Contamination/contaminated_proof_7b_v1.0_safetensor,81.14,78.07,90.22,78.92,82.29,88.16,69.14,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,unknown,7.24,9.0,True,5d7fcb3724d6b08cf82e1b0c1faa1695b9fd6932,True,False
💬,Contamination/contaminated_proof_7b_v1.0,81.14,78.07,90.22,78.92,82.29,88.16,69.14,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,unknown,7.0,3.0,True,b1415875faed65cd29fd804941f5dcf835e99608,True,False
🔶,davidkim205/Rhea-72b-v0.4,81.09,78.5,90.75,78.01,73.91,86.74,78.62,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,72.29,0.0,False,5502123c46485914a580d6794eeb5fb3554b46aa,False,False
💬,MTSAIR/MultiVerse_70B,81.0,78.67,89.77,78.22,75.18,87.53,76.65,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,other,72.29,6.0,True,ea2b4ff8e5acd7a48993f56b2d7b99e049eb6939,False,False
🔶,binbi/Ein-72B-v0.1,80.99,76.45,89.43,77.14,78.09,84.77,80.06,fine-tuned on domain-specific datasets,?,Adapter,bfloat16,False,apache-2.0,72.0,0.0,False,84ec4c0fcefc5af86f649a70c9d3ff493334e868,False,False
🔶,MTSAIR/MultiVerse_70B,80.98,78.58,89.74,78.27,75.09,87.37,76.8,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,other,72.29,6.0,True,ea2b4ff8e5acd7a48993f56b2d7b99e049eb6939,False,False
🔶,davidkim205/Rhea-72b-v0.2,80.95,77.56,90.84,77.98,74.5,86.35,78.47,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,72.29,0.0,False,c51bcf1a3dc3c5e512e805f52d5e15384d798ba7,False,False
🔶,davidkim205/Rhea-72b-v0.3,80.85,76.79,89.98,77.47,75.93,85.08,79.83,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,apache-2.0,72.29,0.0,False,7db39c93177958d94ebc3b719f8bfc75826b345e,False,False
🔶,SF-Foundation/Ein-72B-v0.11,80.81,76.79,89.02,77.2,79.02,84.06,78.77,fine-tuned on domain-specific datasets,?,Adapter,bfloat16,False,apache-2.0,72.0,10.0,True,40d451f32b1a6c9ad694b32ba8ed4822c27f3022,False,False
🔶,SF-Foundation/Ein-72B-v0.13,80.79,76.19,89.44,77.07,77.82,84.93,79.3,fine-tuned on domain-specific datasets,?,Adapter,bfloat16,False,apache-2.0,72.0,5.0,True,1f302e0e15f3d3711778cd61686eb9b28b0c72ae,False,False
🔶,binbi/Ein-72B-v0.1,80.79,76.54,89.2,77.11,78.47,84.06,79.38,fine-tuned on domain-specific datasets,?,Adapter,float16,False,apache-2.0,72.0,0.0,False,84ec4c0fcefc5af86f649a70c9d3ff493334e868,False,False
🔶,SF-Foundation/Ein-72B-v0.12,80.72,76.19,89.46,77.17,77.78,84.45,79.23,fine-tuned on domain-specific datasets,?,Adapter,bfloat16,False,apache-2.0,72.0,3.0,True,84d38e29fec0dc9c274237968fdafe9396702f9b,False,False
🔶,abacusai/Smaug-72B-v0.1,80.48,76.02,89.27,77.15,76.67,85.08,78.7,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,other,72.29,433.0,True,54a8c35600ec5cb30ca2129247854ece23e57f57,False,False
🔶,ibivibiv/alpaca-dragon-72b-v1,79.3,73.89,88.16,77.4,72.69,86.03,77.63,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,other,72.29,19.0,True,4df251a558c53b6b6a4c459045b161951cfc3c4e,False,False
💬,moreh/MoMo-72B-lora-1.8.7-DPO,78.55,70.82,85.96,77.13,74.71,84.06,78.62,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,mit,72.29,67.0,True,c64edea08b27be1e7e2ae6a95bcdd74849cb887e,False,False
🔶,cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO_f16,77.91,74.06,86.74,76.65,72.24,83.35,74.45,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,other,60.81,10.0,True,cd29cfa124072c96ba8601230bead65d76e04dcb,False,True
🔶,saltlux/luxia-21.4b-alignment-v1.0,77.74,77.47,91.88,68.1,79.17,87.45,62.4,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,21.42,22.0,True,ba3403eaafc6d1f6e3a73245314ee96025c08d96,False,False
🔶,HanNayeoniee/LHK_DPO_v1,77.62,74.74,89.3,64.9,79.89,88.32,68.54,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,mit,12.88,0.0,False,4e2c0a8fb1a1654312a573e85fec79832bfa489c,False,False
🔶,cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO,77.52,74.06,86.67,76.69,71.32,83.43,72.93,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,False,other,60.81,2.0,True,e8e558b5fd4ac9da839577b1295d10ca75fc2663,False,True
🔶,saltlux/luxia-21.4b-alignment-v0.2,77.51,76.71,91.61,68.27,79.8,87.06,61.64,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,21.42,0.0,False,59243de958296a4516f72ebfb1b597188dd59229,False,False
🔶,zhengr/MixTAO-7Bx2-MoE-v8.1,77.5,73.81,89.22,64.92,78.57,87.37,71.11,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,12.88,30.0,True,2d8cff968dbfb31e0c1ccc42053ccc4d2698a390,False,True
💬,yunconglong/Truthful_DPO_TomGrc_FusionNet_7Bx2_MoE_13B,77.44,74.91,89.3,64.67,78.02,88.24,69.52,"chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,Original,bfloat16,False,mit,12.88,49.0,True,915651208ea9f40c65a60d1f971a09f9461ee691,False,True
🔶,JaeyeonKang/CCK_Asura_v1,77.43,73.89,89.07,75.44,71.75,86.35,68.08,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,68.98,2.0,True,7dd3ddea090bd63f3143e70d7d6237cc40c046e4,False,False
🔶,fblgit/UNA-SimpleSmaug-34b-v1beta,77.41,74.57,86.74,76.68,70.17,83.82,72.48,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,34.39,16.0,True,e1cdc5b02c662c5f29a50d0b22c64a8902ca856b,False,False
🔶,TomGrc/FusionNet_34Bx2_MoE_v0.1,77.38,73.72,86.46,76.72,71.01,83.35,73.01,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,mit,60.81,7.0,True,6c7ec6d2ca1c0d126a26963fedc9bbdf5210b0d1,False,True
🔶,saltlux/luxia-21.4b-alignment-v0.1,77.32,76.79,91.79,68.18,76.7,87.53,62.93,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,21.42,0.0,False,88a47c498102132f5262581803fe1ed9252a16bc,False,False
🔶,migtissera/Tess-72B-v1.5b,77.3,71.25,85.53,76.63,71.99,81.45,76.95,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,other,72.29,12.0,True,dc092ecc5d5a424678eac445a9f4443069776691,False,False
💬,moreh/MoMo-72B-lora-1.8.6-DPO,77.29,70.14,86.03,77.4,69.0,84.37,76.8,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,False,mit,72.29,32.0,True,76389d5d825c3743cc70bc75b902bbfdad11beba,False,False
🔶,abacusai/Smaugv0.1,77.29,74.23,86.76,76.66,70.22,83.66,72.18,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,apache-2.0,34.39,0.0,False,036927bc2b54d408bb9e9357c3df8353f5853ea8,False,False
🔶,abacusai/Smaug-34B-v0.1,77.29,74.23,86.76,76.66,70.22,83.66,72.18,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,False,other,34.39,51.0,True,7b74a95019f01b59630cbd6469814c752d0e59e5,False,False
